       Scan DD MMM YYYY HH:MM:SS      DepSM       PrdM     Tv290C    C0mS/cm  FlECO-AFLPar/sat/log Sbeox0Mm/L   Sbeox0PS      DepSM      Sal00  Sigma-t00       SvCM       Flag
       3498 23 May 2023 09:50:46    142.000    143.354    13.3907  34.531325     0.5168 5.3337e-02      1.397      0.511    142.000    28.5941    21.3618    1496.30 0.0000e+00
       3523 23 May 2023 09:50:53    141.000    142.344    13.3906  34.529919     0.5095 5.3350e-02      1.390      0.508    141.000    28.5932    21.3611    1496.28 0.0000e+00
       3548 23 May 2023 09:50:59    140.000    141.334    13.3904  34.529002     0.5078 5.3360e-02      1.399      0.512    140.000    28.5929    21.3609    1496.26 0.0000e+00
       3573 23 May 2023 09:51:05    139.000    140.324    13.3902  34.528047     0.5089 5.3360e-02      1.375      0.503    139.000    28.5925    21.3606    1496.24 0.0000e+00
       3597 23 May 2023 09:51:11    138.000    139.314    13.3900  34.527008     0.5090 5.3360e-02      1.379      0.505    138.000    28.5921    21.3603    1496.23 0.0000e+00
       3621 23 May 2023 09:51:17    137.000    138.304    13.3896  34.525423     0.5101 5.3369e-02      1.393      0.510    137.000    28.5912    21.3598    1496.21 0.0000e+00
       3645 23 May 2023 09:51:23    136.000    137.295    13.3893  34.523707     0.5073 5.3371e-02      1.347      0.493    136.000    28.5903    21.3591    1496.19 0.0000e+00
       3669 23 May 2023 09:51:29    135.000    136.285    13.3890  34.521729     0.5054 5.3339e-02      1.389      0.508    135.000    28.5890    21.3582    1496.17 0.0000e+00
       3692 23 May 2023 09:51:35    134.000    135.275    13.3888  34.520170     0.5087 5.3350e-02      1.345      0.492    134.000    28.5881    21.3575    1496.15 0.0000e+00
       3715 23 May 2023 09:51:40    133.000    134.265    13.3885  34.518550     0.5029 5.3339e-02      1.357      0.497    133.000    28.5872    21.3569    1496.13 0.0000e+00
       3738 23 May 2023 09:51:46    132.000    133.255    13.3881  34.516327     0.5004 5.3351e-02      1.353      0.495    132.000    28.5858    21.3559    1496.11 0.0000e+00
       3761 23 May 2023 09:51:52    131.000    132.245    13.3878  34.514272     0.5021 5.3342e-02      1.385      0.506    131.000    28.5845    21.3549    1496.09 0.0000e+00
       3784 23 May 2023 09:51:58    130.000    131.235    13.3875  34.512806     0.4998 5.3345e-02      1.328      0.486    130.000    28.5838    21.3544    1496.07 0.0000e+00
       3807 23 May 2023 09:52:04    129.000    130.226    13.3872  34.511891     0.4993 5.3355e-02      1.366      0.500    129.000    28.5835    21.3543    1496.06 0.0000e+00
       3831 23 May 2023 09:52:10    128.000    129.216    13.3870  34.510837     0.5021 5.3352e-02      1.318      0.482    128.000    28.5830    21.3539    1496.04 0.0000e+00
       3856 23 May 2023 09:52:16    127.000    128.206    13.3867  34.509570     0.4986 5.3370e-02      1.337      0.489    127.000    28.5824    21.3535    1496.02 0.0000e+00
       3881 23 May 2023 09:52:22    126.000    127.196    13.3865  34.508713     0.4980 5.3352e-02      1.335      0.488    126.000    28.5821    21.3533    1496.00 0.0000e+00
       3907 23 May 2023 09:52:28    125.000    126.187    13.3863  34.507526     0.5011 5.3354e-02      1.313      0.480    125.000    28.5816    21.3529    1495.98 0.0000e+00
       3932 23 May 2023 09:52:35    124.000    125.177    13.3861  34.506762     0.4939 5.3351e-02      1.340      0.490    124.000    28.5814    21.3529    1495.97 0.0000e+00
